№ d D s  
1 5 14 1.5  
2 8 14 1.5  
3 10 14 1.5  
4 12 18 1.5  
5 12 20 1.5  
6 12 24 1.5  
7 14 20 1.5  
8 14 20 1.5  
9 16 24 1.5  
10 18 24 1.5  
11 18 30 2.0  
12 20 30 2.0  
13 20 38 2.0  
14 22 34 2.0  
15 24 34 2.0  
16 24 38 2.0  
17 26 38 2.0  
18 28 38 2.0  
19 30 44 3.0  
20 30 48 3.0  
21 32 48 3.0  
22 32 55 3.0  
23 34 55 3.0  
24 36 55 3.0  
25 36 58 3.0  
26 38 48 3.0  
27 40 55 3.0  
28 42 58 3.0  
29 44 58 3.0  
30 48 71 3.0  
31 50 64 3.0  
32 52 71 3.0  
33 54 74 3.0  
34 56 71 3.0  
35 58 74 3.0  
36 60 74 3.0  
37 64 84 3.0  
38 68 84 3.0  
39 70 84 3.0  
40 72 93 3.0  
41 74 93 3.0  
42 78 93 3.0
